event_name, event_url, event_venue, event_category
A Beautiful Noise - The Neil Diamond Musical, https://www.hellotickets.co.uk/us/new-york/theatre/a-beautiful-noise-the-neil-diamond-musical-tickets/314450, Broadhurst Theatre, Theatre
Shucked, https://www.hellotickets.co.uk/us/new-york/theatre/shucked-tickets/318068, Nederlander Theatre, Theatre
Bet365 U.S. Darts Masters, https://www.hellotickets.co.uk/us/new-york/sports/bet365-u-s-darts-masters-tickets/321021, The Theater at Madison Square Garden, Sports
Titanique, https://www.hellotickets.co.uk/us/new-york/theatre/titanique-tickets/321729, Daryl Roth Theatre, Theatre
Smokey Robinson, https://www.hellotickets.co.uk/us/new-york/concerts/smokey-robinson-tickets/321826, New Jersey Performing Arts Center  Prudential Hall, Concerts
Armin Van Buuren, https://www.hellotickets.co.uk/us/new-york/concerts/armin-van-buuren-tickets/331423, Brooklyn Mirage, Concerts
Westminster Kennel Club Dog Show, https://www.hellotickets.co.uk/us/new-york/theatre/westminster-kennel-club-dog-show-tickets/333798, Arthur Ashe Stadium, Theatre
Merrily We Roll Along, https://www.hellotickets.co.uk/us/new-york/theatre/merrily-we-roll-along-tickets/334170, Millennium Hudson Theatre, Theatre
Hot Wheels Monster Trucks Live, https://www.hellotickets.co.uk/us/new-york/sports/hot-wheels-monster-trucks-live-tickets/334343, Barclays Center, Sports
Hot 97 Summer Jam, https://www.hellotickets.co.uk/us/new-york/concerts/hot-97-summer-jam-tickets/337830, UBS Arena, Concerts
Aerosmith with The Black Crowes, https://www.hellotickets.co.uk/us/new-york/concerts/aerosmith-with-the-black-crowes-tickets/342499, Madison Square Garden, Concerts
Aerosmith with The Black Crowes, https://www.hellotickets.co.uk/us/new-york/concerts/aerosmith-with-the-black-crowes-tickets/342560, Prudential Center, Concerts
Enrique Bunbury, https://www.hellotickets.co.uk/us/new-york/concerts/enrique-bunbury-tickets/347830, Madison Square Garden, Concerts
John Oliver & Seth Meyers, https://www.hellotickets.co.uk/us/new-york/concerts/john-oliver-seth-meyers-tickets/348654, Beacon Theatre  NY, Concerts
Luis Miguel, https://www.hellotickets.co.uk/us/new-york/concerts/luis-miguel-tickets/360501, Barclays Center, Concerts
The Notebook - The Musical, https://www.hellotickets.co.uk/us/new-york/theatre/the-notebook-the-musical-tickets/366522, Gerald Schoenfeld Theatre, Theatre
Foo Fighters, https://www.hellotickets.co.uk/us/new-york/concerts/foo-fighters-the-hives-amyl-and-the-sniffers-tickets/368813, Citi Field, Concerts
WDHA's Rock the Rock Fest: Staind, Seether & The Struts, https://www.hellotickets.co.uk/us/new-york/concerts/wdhas-rock-the-rock-fest-staind-seether-the-struts-tickets/373255, Prudential Center, Concerts
Blink 182 & Pierce The Veil, https://www.hellotickets.co.uk/us/new-york/concerts/blink-182-pierce-the-veil-tickets/373605, Citi Field, Concerts
Cabaret at the Kit Kat Club, https://www.hellotickets.co.uk/us/new-york/theatre/cabaret-at-the-kit-kat-club-tickets/373846, August Wilson Theatre, Theatre
Green Day, The Smashing Pumpkins, Rancid & The Linda Lindas, https://www.hellotickets.co.uk/us/new-york/concerts/green-day-the-smashing-pumpkins-rancid-the-linda-lindas-tickets/374818, Citi Field, Concerts
Lempicka, https://www.hellotickets.co.uk/us/new-york/theatre/lempicka-tickets/374977, Longacre Theatre, Theatre
Tate McRae, https://www.hellotickets.co.uk/us/new-york/concerts/tate-mcrae-tickets/375174, Madison Square Garden, Concerts
The Outsiders, https://www.hellotickets.co.uk/us/new-york/theatre/the-outsiders-tickets/375175, Bernard B Jacobs Theater, Theatre
The Wiz, https://www.hellotickets.co.uk/us/new-york/theatre/the-wiz-tickets/375327, Marquis Theatre  NY, Theatre
Mt. Joy, https://www.hellotickets.co.uk/us/new-york/concerts/mt-joy-tickets/375463, Madison Square Garden, Concerts
Kenny Chesney, Zac Brown Band, Megan Moroney & Uncle Kracker, https://www.hellotickets.co.uk/us/new-york/concerts/kenny-chesney-zac-brown-band-megan-moroney-uncle-kracker-tickets/375700, MetLife Stadium, Concerts
Thirty Seconds to Mars & AFI, https://www.hellotickets.co.uk/us/new-york/concerts/thirty-seconds-to-mars-afi-tickets/376204, Barclays Center, Concerts
Peter Hook And The Light, https://www.hellotickets.co.uk/us/new-york/concerts/peter-hook-and-the-light-tickets/377105, Brooklyn Steel, Concerts
An Enemy of the People, https://www.hellotickets.co.uk/us/new-york/theatre/an-enemy-of-the-people-tickets/377351, Circle In The Square Theatre, Theatre
Notre Dame Fighting Irish Football, https://www.hellotickets.co.uk/us/new-york/sports/notre-dame-fighting-irish-football-tickets/377484, MetLife Stadium, Sports
Suffs, https://www.hellotickets.co.uk/us/new-york/theatre/suffs-tickets/378711, Music Box Theatre  NY, Theatre
US Darts Masters, https://www.hellotickets.co.uk/us/new-york/sports/us-darts-masters-tickets/379305, The Theater at Madison Square Garden, Sports
Joe Jackson, https://www.hellotickets.co.uk/us/new-york/concerts/joe-jackson-tickets/379317, Apollo Theater  New York, Concerts
Mary Jane, https://www.hellotickets.co.uk/us/new-york/theatre/mary-jane-tickets/379376, Samuel J. Friedman Theatre, Theatre
Pink, https://www.hellotickets.co.uk/us/new-york/concerts/pink-tickets/379696, MetLife Stadium, Concerts
Uncle Vanya, https://www.hellotickets.co.uk/us/new-york/theatre/uncle-vanya-tickets/380320, Vivian Beaumont Theatre at Lincoln Center, Theatre
COPA America - Chile, https://www.hellotickets.co.uk/us/new-york/sports/copa-america-chile-tickets/380392, MetLife Stadium, Sports
COPA America - Uruguay, https://www.hellotickets.co.uk/us/new-york/sports/copa-america-uruguay-tickets/380393, MetLife Stadium, Sports
Hells Kitchen - The Musical, https://www.hellotickets.co.uk/us/new-york/theatre/hells-kitchen-the-musical-tickets/380704, Shubert Theatre - NY, Theatre
Nicki Minaj, https://www.hellotickets.co.uk/us/new-york/concerts/nicki-minaj-tickets/380822, Barclays Center, Concerts
Norah Jones, https://www.hellotickets.co.uk/us/new-york/concerts/norah-jones-tickets/385918, Apollo Theater  New York, Concerts
The Black Crowes, https://www.hellotickets.co.uk/us/new-york/concerts/the-black-crowes-tickets/386539, Radio City Music Hall, Concerts
X Ambassadors, https://www.hellotickets.co.uk/us/new-york/concerts/x-ambassadors-tickets/386551, Irving Plaza, Concerts
Itzy, https://www.hellotickets.co.uk/us/new-york/concerts/itzy-tickets/387536, Prudential Center, Concerts
Cypress Hill, The Pharcyde & Souls of Mischief, https://www.hellotickets.co.uk/us/new-york/concerts/cypress-hill-the-pharcyde-souls-of-mischief-tickets/387941, Brooklyn Steel, Concerts
DJ Cassidy's Pass The Mic Live: Bobby Brown, Boyz II Men &Faith Evans, https://www.hellotickets.co.uk/us/new-york/concerts/dj-cassidys-pass-the-mic-live-bobby-brown-boyz-ii-men-faith-evans-tickets/388274, Prudential Center, Concerts
